id,nome,latitude,longitude,ano,sem,ta
270840,São José da Tapera,-9.54939574043675,-37.3837077656992,2016,32,9
270850,São Luís do Quitunde,-9.31411736924134,-35.5654908365835,2016,32,4
270860,São Miguel dos Campos,-9.77993457613103,-36.0942642743776,2016,32,4
270880,São Sebastião,-9.93165738892367,-36.5510919020052,2016,32,5
270890,Satuba,-9.56942786775773,-35.8285402270771,2016,32,1
270910,Taquarana,-9.64232010538379,-36.4967676919619,2016,24,1
270915,Teotônio Vilela,-9.90749788301098,-36.3555631422205,2016,32,4
270920,Traipu,-9.97105938200651,-37.0060056722452,2016,32,2
270930,União dos Palmares,-9.159524116522,-36.0331428428074,2016,32,7
270940,Viçosa,-9.37705435448976,-36.2483932029197,2016,32,2
130070,Boca do Acre,-8.75124319609379,-67.3995777566805,2016,32,1
130185,Iranduba,-3.2810538776069,-60.1933881661307,2016,32,1
130230,Jutaí,-2.74464644685786,-66.7713275466878,2016,32,1
130250,Manacapuru,-3.29827803546755,-60.6205894458706,2016,32,1
130260,Manaus,-3.13469149120195,-60.023335181061,2016,32,19
130290,Maués,-3.38642792621106,-57.7150343867525,2016,32,1
130356,Rio Preto da Eva,-2.6933015416451,-59.704738094199,2016,32,1
130380,São Gabriel da Cachoeira,-0.136462788116522,-67.0836428963463,2016,32,1
160020,Calçoene,2.49655904456698,-50.9447727342665,2016,32,2
160030,Macapá,0.03895101,-51.057405457036,2016,32,7
160050,Oiapoque,3.85113073255929,-51.8305525552731,2016,32,1
160060,Santana,-3.83734790956603E-02,-51.1728464650687,2016,32,3
290030,Acajutiba,-11.6626128300483,-38.0182863705796,2016,32,3
290070,Alagoinhas,-12.1341825924055,-38.4226157693395,2016,32,47
290100,Amargosa,-13.0344513621971,-39.5981225034895,2016,32,5
290110,Amélia Rodrigues,-12.4001884013071,-38.7555569164417,2016,32,4
290135,Andorinha,-10.3442400415346,-39.8323357010101,2016,32,3
290140,Angical,-12.0066827725325,-44.6958234827073,2016,32,1
290150,Anguera,-12.1495870700754,-39.2484989182822,2016,32,1
290190,Aporá,-11.6553942918973,-38.0799953494517,2016,32,2
290195,Apuarema,-13.853228848819,-39.7421321165047,2016,32,1
290205,Araças,-12.2151996675491,-38.1982880171949,2016,32,2
290200,Aracatu,-14.4266302419957,-41.4616853206574,2016,12,1
290210,Araci,-11.3357278753122,-38.9609581594029,2016,32,8
290220,Aramari,-12.0881829783087,-38.5030663542087,2016,32,4
290250,Baianópolis,-12.3041247007939,-44.5360980467187,2016,32,1
